measure,seed,selection_rng_seed,alive,deaths,median_energy_after_selection,episodes_solved_during_life,held_out_attempted,adaptive_held_out_solved,adaptive_held_out_solved_per_mille,adaptive_held_out_median_nodes,frozen_held_out_solved,frozen_held_out_solved_per_mille,frozen_held_out_median_nodes,macros_median
minimal_criterion,0,21,6,3,198100,31,24,8,333,8993,8,333,8993,9
novelty,0,21,6,2,184114,22,24,6,250,15999,6,250,15999,9
objective,0,21,6,2,194672,0,24,2,83,7098,2,83,7098,0
quality_diversity,0,21,6,2,194672,22,24,8,333,9330,8,333,9330,3
minimal_criterion,1,998,6,0,200000,32,24,18,750,2818,18,750,2818,19
novelty,1,998,6,0,200000,24,24,15,625,3269,15,625,3269,3
objective,1,998,6,0,194672,0,24,3,125,2803,3,125,2803,0
quality_diversity,1,998,6,0,200000,16,24,9,375,2818,9,375,2818,0
minimal_criterion,2,1975,6,3,148270,29,24,24,1000,14759,24,1000,14759,0
novelty,2,1975,6,0,184049,0,24,0,0,0,0,0,0,0
objective,2,1975,6,0,194679,0,24,0,0,0,0,0,0,0
quality_diversity,2,1975,6,0,194679,0,24,0,0,0,0,0,0,0
minimal_criterion,3,2952,6,5,175032,23,24,12,500,12048,12,500,12048,4
novelty,3,2952,6,3,184046,16,24,8,333,12938,8,333,12938,4
objective,3,2952,6,0,194702,0,24,0,0,0,0,0,0,0
quality_diversity,3,2952,6,2,194702,7,24,4,166,9579,4,166,9579,0
minimal_criterion,4,3929,6,0,200000,48,24,20,833,24085,20,833,23014,10
novelty,4,3929,6,0,200000,40,24,16,666,23721,16,666,22671,9
objective,4,3929,6,0,200000,32,24,16,666,21169,16,666,20161,6
quality_diversity,4,3929,6,0,200000,32,24,16,666,19455,16,666,18447,3
minimal_criterion,5,4906,6,3,162164,43,24,24,1000,13121,24,1000,14489,11
novelty,5,4906,6,0,194679,6,24,12,500,14725,12,500,15156,0
objective,5,4906,6,1,194679,0,24,4,166,8335,4,166,8335,0
quality_diversity,5,4906,6,1,194679,15,24,8,333,14554,8,333,14554,0
minimal_criterion,6,5883,6,0,200000,39,24,20,833,2651,20,833,2703,8
novelty,6,5883,6,0,200000,39,24,20,833,2651,20,833,2703,8
objective,6,5883,6,0,194672,0,24,4,166,1839,4,166,1839,0
quality_diversity,6,5883,6,0,200000,8,24,12,500,2447,12,500,2447,0
minimal_criterion,7,6860,6,2,194698,7,24,8,333,7428,8,333,7288,0
novelty,7,6860,6,2,194698,0,24,0,0,0,0,0,0,0
objective,7,6860,6,0,194698,0,24,0,0,0,0,0,0,0
quality_diversity,7,6860,6,0,194698,0,24,0,0,0,0,0,0,0
minimal_criterion,8,7837,6,3,194672,0,24,3,125,1833,3,125,1833,0
novelty,8,7837,6,2,189351,0,24,3,125,1833,3,125,1833,0
objective,8,7837,6,1,194672,0,24,0,0,0,0,0,0,0
quality_diversity,8,7837,6,1,194672,0,24,0,0,0,0,0,0,0
minimal_criterion,9,8814,6,1,149126,41,24,20,833,15394,20,833,15394,2
novelty,9,8814,6,0,184016,29,24,16,666,9430,16,666,9430,6
objective,9,8814,6,0,194672,0,24,4,166,17122,4,166,17122,0
quality_diversity,9,8814,6,0,194672,14,24,8,333,9871,8,333,9871,0
